area,r_value,p_value
ctx-lh-caudalanteriorcingulate,-0.06547618506958898,0.34740789172708797
ctx-lh-caudalmiddlefrontal,-0.2974245573387632,1.2840378223148e-05
ctx-lh-cuneus,0.06692051352193916,0.33685281671428446
ctx-lh-entorhinal,-0.188681961682453,0.00634554256379603
ctx-lh-fusiform,-0.10313591158982764,0.13822338054523262
ctx-lh-inferiorparietal,-0.17749912513960556,0.010320513749421494
ctx-lh-inferiortemporal,-0.1263470481778333,0.06898523869210373
ctx-lh-insula,-0.203727284484959,0.0031622697644011896
ctx-lh-isthmuscingulate,-0.0462293861428165,0.5072880275789465
ctx-lh-lateraloccipital,-0.006025992313887435,0.9311602542622028
ctx-lh-lateralorbitofrontal,-0.15778243604812467,0.02283801154353556
ctx-lh-lingual,0.06518415937687923,0.349567115254693
ctx-lh-medialorbitofrontal,-0.022973239274834262,0.7418748426700059
ctx-lh-middletemporal,-0.06328137620676315,0.3638425277531452
ctx-lh-paracentral,-0.11981286064382733,0.08474987216971809
ctx-lh-parahippocampal,0.023678520249952203,0.7342435488104133
ctx-lh-parsopercularis,-0.316598664227853,3.1784296035137075e-06
ctx-lh-parsorbitalis,-0.2527473622988571,0.00023033483201721755
ctx-lh-parstriangularis,-0.15457101512109334,0.025798242311367868
ctx-lh-pericalcarine,0.06859634488331977,0.3248653739922195
ctx-lh-postcentral,-0.08216099369706764,0.23808070567996095
ctx-lh-posteriorcingulate,-0.1062087740462592,0.12679690128390633
ctx-lh-precentral,-0.2037426455845383,0.003159942755127593
ctx-lh-precuneus,-0.15349157049416468,0.026864583948720256
ctx-lh-rostralanteriorcingulate,0.0877459389730858,0.20756259770281865
ctx-lh-rostralmiddlefrontal,-0.2326408956909276,0.0007209356535794197
ctx-lh-superiorfrontal,-0.45978299205500134,2.8228066563945886e-12
ctx-lh-superiorparietal,-0.1212637322565139,0.08102044494517067
ctx-lh-superiortemporal,-0.2252584230255853,0.0010705758855301354
ctx-lh-supramarginal,-0.21536159163873977,0.0017840304072722628
ctx-lh-transversetemporal,-0.1428602375274544,0.03954083321485234
ctx-rh-caudalanteriorcingulate,0.02483818802773883,0.7217524630015978
ctx-rh-caudalmiddlefrontal,-0.23334199401503725,0.0006939151432616606
ctx-rh-cuneus,0.02899258393649854,0.6776261877618711
ctx-rh-entorhinal,-0.1793475543348027,0.009540567535449991
ctx-rh-fusiform,-0.1603707739509515,0.020669958404584198
ctx-rh-inferiorparietal,-0.09294778640260368,0.1817695949627734
ctx-rh-inferiortemporal,-0.20572025960347515,0.002872983727223534
ctx-rh-insula,-0.017500990290939017,0.8018906246183166
ctx-rh-isthmuscingulate,0.1604671987806979,0.02059275543582401
ctx-rh-lateraloccipital,0.03233478999386025,0.6428985637310228
ctx-rh-lateralorbitofrontal,-0.13940124245004443,0.04462485925266596
ctx-rh-lingual,0.1877526383370559,0.006613936258290518
ctx-rh-medialorbitofrontal,0.11853671945564465,0.08814298103294697
ctx-rh-middletemporal,-0.12357433105931082,0.07535519719607939
ctx-rh-paracentral,-0.15797466487286468,0.02267051147204736
ctx-rh-parahippocampal,0.11532260673736545,0.09717181603664882
ctx-rh-parsopercularis,-0.1383279453282405,0.04630955031055816
ctx-rh-parsorbitalis,-0.23624473828579795,0.0005916899877575514
ctx-rh-parstriangularis,-0.0757254832101442,0.27698879254585645
ctx-rh-pericalcarine,0.15903082962411555,0.021768997133738633
ctx-rh-postcentral,0.02785226268213385,0.6896369311376429
ctx-rh-posteriorcingulate,0.08303839896748687,0.23308864822561803
ctx-rh-precentral,-0.16476924142643634,0.017392972334373615
ctx-rh-precuneus,-0.020672054608778793,0.7669462912243898
ctx-rh-rostralanteriorcingulate,0.02664972253803398,0.702387600431326
ctx-rh-rostralmiddlefrontal,-0.16063683639990897,0.020457540048531387
ctx-rh-superiorfrontal,-0.3271771367458883,1.4099139918467675e-06
ctx-rh-superiorparietal,-0.11178931919329342,0.10792819058429423
ctx-rh-superiortemporal,-0.13879114689734084,0.04557608055335939
ctx-rh-supramarginal,-0.11315546407427796,0.10366329871584662
ctx-rh-transversetemporal,-0.17688350124385413,0.010592504171306033
ctx-rh-transversetemporal,0.17538704567791327,0.011280208681713741
