ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-insula,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-paracentral,ctx-lh-parahippocampal,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-transversetemporal,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-insula,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-paracentral,ctx-rh-parahippocampal,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-transversetemporal,subid
1001.33638854,3475.46745979,2464.02343911,984.301632492,4544.57113437,7805.37925668,5165.63809323,2235.63069199,1446.51135287,8525.28124546,3214.61430245,4719.0221591,2222.09684238,5097.33509669,1928.02687742,1038.69099389,2512.8134285,1427.21874153,2405.35114924,1710.79361459,6175.95709664,1939.22613163,6674.60464965,5885.99359462,786.47390436,9054.14782736,11874.9852533,8284.04440549,6199.40823371,5879.57885944,726.358441023,880.285311131,3366.12123616,2275.80655557,800.392802153,5140.5045122,10113.2499212,5959.31023122,2150.38550667,1219.69564211,7443.81674752,2850.41101188,3376.01755006,2616.85866381,6043.50471265,1942.70419302,984.772346479,1888.25054203,1504.85869676,2255.51831599,1566.08073284,6620.12735901,1356.49576023,6677.13119762,5436.9657004,602.78431465,9125.8059064,11321.4560922,7878.36889824,5038.21659825,5436.54694718,416.721552539,5069025_VNav
948.686994974,3382.53390916,2752.81177898,1034.13065981,4597.74379334,7502.38476124,5128.18685349,2230.38628358,1396.21212261,9186.6481984,3371.08062671,5399.99204014,2667.40163446,5191.54112599,1920.12090876,1071.5128424,2206.67987566,1627.22697694,2383.85038657,1657.98848591,6218.19238493,1903.85074597,6743.52362774,5918.58379654,925.387948122,10006.9007953,12373.3954104,8213.65308003,6434.93032175,6043.58625482,688.222203664,888.431029987,3482.73369548,2154.67935516,814.472258036,5214.52978076,8564.79767286,5815.39780238,2176.56087745,1277.81713307,8506.26486571,2882.0978793,4438.92257734,2221.03162011,6412.90476699,1893.06668244,853.651828686,1866.9256898,1610.31060977,2232.16214086,1783.38415235,6524.49112035,1432.79793578,6729.92652384,5533.29445357,592.661741563,9278.78462766,11264.0990838,7440.21576429,5131.34838453,5114.1320796,449.011817804,5069025_VNavNorm
528.072272087,3372.8360555,1292.07789966,827.801103743,4127.92064252,5386.16629231,5124.83185138,2443.6887148,1422.92373056,4828.24508556,3486.1672669,3399.41698562,2295.81398423,4297.04152022,1518.10957877,816.383445729,1948.30417167,1137.5109729,1697.4282237,880.936100615,5359.0591743,1361.51376876,5603.85610827,4318.91108569,915.711462366,6425.78615005,8812.9466007,6720.30914302,4703.33279365,4765.03408221,466.455167282,828.67837881,2440.44189537,1631.39144398,826.341047931,4042.69751595,5877.63363088,5064.90504705,2656.66480677,1119.57750317,5025.17520773,3376.49279692,3436.57735434,2566.84801754,4563.31298965,1890.93441432,667.63689984,1624.4957852,1380.51052616,1807.77407603,954.85129451,4604.75234757,1671.80562523,5289.09651614,4494.59868412,691.689847683,6773.07988083,9415.45436797,6785.6382037,4669.70145559,4624.0421968,392.01641356,5072444_VNav
529.400640644,3340.76292196,1450.11009397,792.909151181,3928.60596926,5677.36883057,5015.86278835,2880.8509262,1464.65466463,5829.42908386,3334.8786333,3445.41387476,2116.83687615,4401.24400556,1487.38282048,795.712519401,1940.27544703,1219.19597932,1670.53509936,951.758437829,5344.43789092,1384.55032448,5608.08428631,4438.16328912,976.215602069,6587.10007534,8741.49084551,6855.62339124,4966.56655209,4839.40401433,464.930901977,866.448387537,2410.45484918,1778.27002778,823.498317237,3922.3072636,6174.29337318,4971.16421774,2665.50338947,1038.6417289,5105.20936851,3371.79881475,3818.60046055,2500.43138157,4615.57250579,1907.49295761,676.110375133,1635.25227903,1439.3929407,1849.15046129,1088.38205123,4478.91510175,1571.21360003,5288.67878466,4458.05789939,673.746045762,6777.54206178,9427.28951096,7048.81958348,4609.57300059,4602.0722485,401.090383889,5072444_VNavNorm
1051.99245625,1837.42584047,1568.41384666,831.911211507,4495.91042415,5067.40290661,6129.59169889,2256.73795211,1750.95856272,5527.88360021,3377.27369494,3250.5238766,2408.70712041,4655.03565802,1467.22092577,997.084508356,2204.39267233,1127.9650043,2123.66660027,878.65934245,4681.38742475,1808.24368604,5028.36746043,4568.222575,1169.46367324,8918.89018202,9417.44143552,7809.66834477,5075.47503171,5376.85784657,465.502986307,937.249100214,2255.69237396,2139.66713495,783.361764023,3780.55526383,7793.85365689,5345.37560947,2561.78705518,1477.3823198,5630.51557923,3565.52445215,3448.23273162,2875.26872591,5301.20838622,1904.34178505,810.46455196,1654.36300344,1580.66401842,2352.05049623,1251.53572198,5172.87148271,1585.58327028,5045.55020063,4550.06764348,807.391791101,9814.28536614,9536.8092854,6718.60879659,4470.58374182,5196.20814955,396.416574708,5075903_VNav
1037.76031694,1854.58159522,1594.170676,750.229548421,4208.46617538,4937.6507351,5957.12164237,2177.8037701,1674.94442806,5609.27770798,3401.35526021,3183.70483222,2777.50670001,4860.67213065,1480.9354343,1108.86713103,2159.47077101,1177.0458768,2113.68406385,859.849581436,4733.35590883,1741.7099544,5021.67274393,4476.21503454,1177.46222448,8761.48498389,9467.6891637,7701.87446245,4989.26051865,5552.55969957,481.404218674,983.14177623,2220.54604058,2171.77757573,730.80255754,3836.86078516,8038.41883557,5178.56643468,2589.40047734,1391.69396034,5500.05981843,3624.21882082,3451.14780373,2895.80676044,5241.92392381,1827.39386023,802.46480094,1625.81528008,1636.82572321,2269.50305868,1243.53134598,5044.9268153,1484.0715627,5059.58472068,4653.22368206,855.995750845,9174.16990894,9817.5205659,6702.34679979,4540.41671299,4941.26352113,403.487922938,5075903_VNavNorm
896.584320591,3099.01429615,1970.69960354,785.913860821,4236.94683958,5433.12131139,3888.35315315,2489.87763114,1254.57564536,5843.92158995,3577.5904766,3490.30952984,2398.78188649,4400.9434681,1847.01315373,1083.94733249,2461.68668802,1369.30432839,2295.58391132,1374.35726224,5768.74362868,1443.19130836,6004.99996647,4677.07414658,1141.17663934,9098.97105855,10098.1793299,6881.01944901,5636.26574448,4848.35312209,739.904469979,1083.33596243,3516.01226126,2362.88897009,652.493294327,4144.03364991,5956.00519132,4260.20809818,2416.97536735,1217.232731,5787.5821797,3749.35470466,3986.89759992,2333.69567463,4625.8211438,1722.20568198,1004.98627057,2106.79255712,1487.91577916,2396.13505463,1485.02502685,5802.25075831,1911.20031277,6255.49114238,4674.65609195,949.591136299,8991.53833587,9619.54658961,6886.53793813,5447.63769633,5005.70502908,470.432544922,5083559_VNav
901.835126023,3130.76609503,2034.34784208,702.607122552,4265.0559392,5478.79320076,3929.67944512,2177.73863207,1242.15539572,5754.07202162,3524.87194145,3479.0341449,2255.48789321,4380.46020515,1825.41537807,1081.51440429,2425.92121275,1428.05405825,2267.02766227,1403.03856845,5732.11432857,1468.6137905,6010.20699135,4652.87528017,1201.78887103,9126.42323603,10218.1950844,6873.29582494,5583.31182614,4797.80271648,754.801978366,1127.87562701,3524.25431172,2342.86932422,579.846819995,4103.46798105,5910.08737863,4389.07291587,2347.25059696,1159.22915657,5430.9584728,3311.74566541,4029.0695469,2515.23485876,4622.4691123,1753.42278628,1040.80519212,1985.51607034,1543.5096904,2516.37754831,1491.86968186,5727.91662284,1936.8751846,6237.81433906,4625.07932452,1007.37886898,8801.28422287,9682.36715394,7170.19817005,5552.3410695,4901.86938543,477.641537231,5083559_VNavNorm
498.13192866,2425.56198162,1682.46877635,535.791414052,3558.07299511,5947.02526484,4144.30950329,1808.05059925,991.875367208,5876.78048517,2999.84894597,3325.72897627,2505.06874291,4425.6241809,1685.54160601,731.105760727,1830.47114647,1153.41180106,1746.66029056,1100.10818623,5559.99058657,1441.70466489,5444.08018352,3529.83249382,870.292162361,7153.80031907,8531.51184694,7560.34422358,4676.81536497,4466.12315264,597.569435659,713.494110798,2198.09055912,1640.2018862,732.109747027,2969.35899389,7538.62849936,4181.18147321,2211.25210252,955.494387153,5795.84798509,3018.65690945,3164.99216151,2252.38008102,4931.21783537,1528.92975597,821.136207911,1633.07736011,1582.97073829,2335.05288106,1306.18424383,4357.39847757,1336.76743349,5307.78431234,4176.21531487,788.971963501,8266.93795127,8464.09185263,7631.39074411,4613.99983348,4126.3503328,408.919655313,5098010_HCP
495.865259891,2501.17959628,1777.34415664,562.919405268,3575.81158478,6057.8931375,4182.21918328,2152.34391263,1052.39282884,6264.53946319,3212.41196336,3413.98548197,2317.17652978,4468.35345049,1740.56858993,774.043904963,1726.58588848,1181.84968943,1791.33691703,1171.95589271,5693.25173411,1540.2309523,5547.19590855,3551.52235376,883.330050732,7454.66965642,8815.37558766,7624.41308784,4765.67062451,4540.94961579,603.713984375,757.698592087,2295.87646199,1631.34922875,746.354920894,3037.9517497,7730.91610354,4360.28745225,2139.04325552,1049.87097798,6038.55586525,3100.77338114,3375.84137667,2384.15853027,5240.93630559,1568.3441035,817.463031983,1646.51486075,1517.00876791,2311.00176285,1268.33393181,4492.14146748,1401.1687836,5377.64291093,4194.62890056,800.440585967,8317.73264556,8649.05556774,7905.00501969,4706.56031936,4123.6107662,414.565965418,5098010_VNav
530.099692375,2329.71251363,1733.4940709,590.811243386,3536.03914558,6215.89113758,4160.6324678,1959.62625032,1122.14940372,6131.14920908,3098.64614334,3434.17987093,2500.68204193,4482.85053587,1695.01048349,781.299624726,1777.80524069,1164.57049297,1787.21308347,1128.4134886,5622.03369785,1488.58394894,5427.9231259,3564.18886859,894.584477173,7712.17538331,8672.80276254,7754.6904146,4756.93610386,4559.27271786,631.590543997,768.905166097,2278.06691306,1699.89799585,827.514292298,2896.58927313,7636.16628169,4293.81183227,2242.12938612,1060.00942809,6012.56015402,3109.65860902,3269.25008413,2243.3627562,5036.98737284,1574.87930238,801.860700999,1691.87968029,1485.6968078,2311.57151192,1316.59557632,4440.6663502,1497.00419678,5435.24992253,4341.64708481,816.41816023,8419.22531502,8663.34048026,7727.35196184,4612.26625525,4187.1392007,400.890160912,5098010_VNavNorm
914.976492792,3256.10212596,1592.16949047,908.668243063,4644.10845171,6102.1425816,5591.70295659,2231.56192313,1456.10767496,6692.51328885,3141.96194454,3665.8951204,2656.23316702,4792.29005308,1418.13493832,857.140573203,2267.65890178,1215.44743989,1751.20655597,1138.47478987,5845.6329915,1486.41737908,6034.8719771,4638.93495936,1131.29855823,8656.67919396,9252.76218949,7028.86599322,5545.00769305,5948.51061246,675.378885223,680.146562573,3488.565053,2048.51677291,809.37912001,4924.83316871,8198.71257878,6012.75590804,2235.82639206,1198.72585427,5983.37545989,3423.40722786,3037.8597493,2271.34462822,5851.40521061,1672.92061301,822.359175555,1508.12492408,1466.5750934,1641.22706911,1295.29250277,5368.95904356,1375.31937483,5861.55846586,4576.90427138,873.75078729,9287.65664173,9790.70401113,7533.39502934,4865.74317539,4524.92732168,412.909599487,5106395_VNav
937.627598339,3124.89294091,1641.8585411,891.90997192,4588.61672667,6183.2658021,5557.63547176,2343.29651045,1392.26110175,6934.95261999,3149.31958386,3619.39562414,2540.62697315,5110.50455497,1367.39786259,914.656611918,2288.97085926,1191.48626726,1819.29900027,1025.93680915,5856.49470729,1502.4552374,6082.56139567,4601.61041673,1216.79300316,8657.74006783,9168.80419099,7202.70881445,5501.79178655,6003.95369044,711.686204014,661.263485399,3384.44849073,1904.23532213,761.844358224,4876.21735268,8288.91961956,5847.03473028,2477.95557717,1159.85081314,7085.74919038,3160.59798405,2820.9202629,2286.47848701,5769.03585404,1732.09016675,843.104666084,1488.00619264,1480.41427111,1689.81174428,1245.18293941,5318.32018903,1412.01136939,5812.94511315,4868.42022321,870.541825605,9252.39572607,9752.31158022,7489.60968507,4942.2940068,4548.01097524,402.058969598,5106395_VNavNorm
