area,r_value,p_value
ctx-lh-caudalanteriorcingulate,-0.10031903480827722,0.2797538534679278
ctx-lh-caudalmiddlefrontal,-0.47838900790160654,4.2777688551422625e-08
ctx-lh-cuneus,0.005986841301753973,0.948697898477079
ctx-lh-entorhinal,-0.04550714138256103,0.6246113222103566
ctx-lh-fusiform,-0.027618006185569928,0.766564749344
ctx-lh-inferiorparietal,-0.1331690799360351,0.150547967021642
ctx-lh-inferiortemporal,-0.05980020239996063,0.520057077782468
ctx-lh-insula,0.0715452972424335,0.4413622117877749
ctx-lh-isthmuscingulate,0.2419398399443958,0.008302916953271981
ctx-lh-lateraloccipital,0.04998820248859841,0.5908762474416418
ctx-lh-lateralorbitofrontal,-0.012048383772923218,0.8969696159567722
ctx-lh-lingual,0.11724390542719332,0.2060854619190914
ctx-lh-medialorbitofrontal,-0.05614549310174973,0.5459232076295788
ctx-lh-middletemporal,-0.09245304333459538,0.3193761334849105
ctx-lh-paracentral,-0.3449551576137331,0.00013056540704529896
ctx-lh-parahippocampal,-0.01643258726280206,0.8598105775377862
ctx-lh-parsopercularis,-0.007876928159209212,0.932535046377428
ctx-lh-parsorbitalis,-0.14089858581733755,0.12804414406083692
ctx-lh-parstriangularis,-0.09295645789037958,0.31673681059541353
ctx-lh-pericalcarine,-0.09348062705054146,0.31400372716381664
ctx-lh-postcentral,0.08564084091099744,0.35648165940862986
ctx-lh-posteriorcingulate,0.019419643980790793,0.8346626217630004
ctx-lh-precentral,-0.26541344723011473,0.0036757970400153324
ctx-lh-precuneus,-0.04267288854463776,0.6463628771253442
ctx-lh-rostralanteriorcingulate,0.21102248395832543,0.021802962292824052
ctx-lh-rostralmiddlefrontal,-0.25157852170890815,0.005994240353218872
ctx-lh-superiorfrontal,-0.3661980416717935,4.5390405422961835e-05
ctx-lh-superiorparietal,-0.08827865969172179,0.34180697040614305
ctx-lh-superiortemporal,-0.014428596572484598,0.8767627681810057
ctx-lh-supramarginal,0.038119138449522964,0.6819373510132589
ctx-lh-transversetemporal,-0.311348888323583,0.000599538434567636
ctx-rh-caudalanteriorcingulate,-0.022329520691106813,0.810323671034397
ctx-rh-caudalmiddlefrontal,-0.3741236078278444,3.001422713521238e-05
ctx-rh-cuneus,-0.1763906103486595,0.05604245858899348
ctx-rh-entorhinal,-0.06519906249106622,0.4830218761537648
ctx-rh-fusiform,-0.060246498496836956,0.5169417175036457
ctx-rh-inferiorparietal,-0.28865762784861193,0.0015243479813289592
ctx-rh-inferiortemporal,-0.1407117258192041,0.12855585931333388
ctx-rh-insula,0.1572369617047117,0.08904767513210296
ctx-rh-isthmuscingulate,0.13758823386914015,0.13734359901766083
ctx-rh-lateraloccipital,-0.24779832177776293,0.006821085109540642
ctx-rh-lateralorbitofrontal,-0.1903290380097528,0.03897939978686293
ctx-rh-lingual,-0.10318868376836814,0.2661575323725055
ctx-rh-medialorbitofrontal,-0.10447776418482371,0.260198510149828
ctx-rh-middletemporal,-0.022283450847805808,0.8107076693193235
ctx-rh-paracentral,-0.08194975331911658,0.3776627806063957
ctx-rh-parahippocampal,0.03585511638961847,0.6998936102908562
ctx-rh-parsopercularis,-0.26451329012399444,0.003797589373754689
ctx-rh-parsorbitalis,-0.09837943367247944,0.28920307822084335
ctx-rh-parstriangularis,-0.28534986354651637,0.001735703051108001
ctx-rh-pericalcarine,-0.05460461612140834,0.5570142719157893
ctx-rh-postcentral,-0.049689332997224396,0.593100323150905
ctx-rh-posteriorcingulate,-0.1377060727132215,0.13700397453841295
ctx-rh-precentral,-0.2849542716997505,0.0017626847988061914
ctx-rh-precuneus,0.022152955988564035,0.8117956051411894
ctx-rh-rostralanteriorcingulate,0.07784104891382815,0.4021198862970766
ctx-rh-rostralmiddlefrontal,-0.32675563607969954,0.0003046158094388701
ctx-rh-superiorfrontal,-0.403048437761197,6.037060363852665e-06
ctx-rh-superiorparietal,-0.1109491980129906,0.23166388729346876
ctx-rh-superiortemporal,0.006465395107820912,0.9446033712271639
ctx-rh-supramarginal,-0.050799553892229204,0.5848576498777767
ctx-rh-transversetemporal,0.06297622042080678,0.4980967374176535
ctx-rh-transversetemporal,0.17515339235699845,0.05781585122206987
